Stock,Date,Close,Predicted,Probability,Future_Close,Actual,Result
HDFCBANK,2025-09-17,966.5,DOWN,0.7712723016738892,951.0499877929688,DOWN,CORRECT
HDFCBANK,2025-09-18,976.9000244140624,DOWN,0.7792904376983643,949.8499755859376,DOWN,CORRECT
HDFCBANK,2025-09-19,966.9000244140624,DOWN,0.7685942649841309,945.0499877929688,DOWN,CORRECT
HDFCBANK,2025-09-22,964.2000122070312,DOWN,0.7708474397659302,950.2999877929688,DOWN,CORRECT
HDFCBANK,2025-09-23,957.2000122070312,DOWN,0.7685942649841309,951.0,DOWN,CORRECT
HDFCBANK,2025-09-24,951.0499877929688,DOWN,0.7653088569641113,965.25,UP,WRONG
HDFCBANK,2025-09-25,949.8499755859376,DOWN,0.7733626365661621,965.1500244140624,UP,WRONG
HDFCBANK,2025-09-26,945.0499877929688,DOWN,0.7733626365661621,973.4500122070312,UP,WRONG
HDFCBANK,2025-09-29,950.2999877929688,DOWN,0.7591949105262756,982.5,UP,WRONG
HDFCBANK,2025-09-30,951.0,DOWN,0.7591949105262756,978.7000122070312,UP,WRONG
HDFCBANK,2025-10-01,965.25,DOWN,0.7663053870201111,977.0999755859376,UP,WRONG
HDFCBANK,2025-10-03,965.1500244140624,DOWN,0.7675088047981262,980.9000244140624,UP,WRONG
HDFCBANK,2025-10-06,973.4500122070312,DOWN,0.7675088047981262,977.0,UP,WRONG
HDFCBANK,2025-10-07,982.5,DOWN,0.7342689037322998,977.1500244140624,DOWN,CORRECT
HDFCBANK,2025-10-08,978.7000122070312,DOWN,0.7675088047981262,978.25,DOWN,CORRECT
HDFCBANK,2025-10-09,977.0999755859376,DOWN,0.7747237682342529,994.3499755859376,UP,WRONG
HDFCBANK,2025-10-10,980.9000244140624,DOWN,0.7381658554077148,1002.5499877929688,UP,WRONG
HDFCBANK,2025-10-13,977.0,DOWN,0.7381658554077148,1002.9500122070312,UP,WRONG
HDFCBANK,2025-10-14,977.1500244140624,DOWN,0.7269968390464783,1007.7000122070312,UP,WRONG
HDFCBANK,2025-10-15,978.25,DOWN,0.7237157821655273,1008.7999877929688,UP,WRONG
HDFCBANK,2025-10-16,994.3499755859376,DOWN,0.7576191425323486,994.75,UP,WRONG
HDFCBANK,2025-10-17,1002.5499877929688,DOWN,0.7418506741523743,1002.9500122070312,UP,WRONG
HDFCBANK,2025-10-20,1002.9500122070312,DOWN,0.7418506741523743,1003.5499877929688,UP,WRONG
HDFCBANK,2025-10-21,1007.7000122070312,DOWN,0.7183409929275513,1007.8499755859376,UP,WRONG
HDFCBANK,2025-10-23,1008.7999877929688,DOWN,0.6728577613830566,998.1500244140624,DOWN,CORRECT
HDFCBANK,2025-10-24,994.75,DOWN,0.6559675335884094,987.2999877929688,DOWN,CORRECT
HDFCBANK,2025-10-27,1002.9500122070312,DOWN,0.7380878925323486,992.6500244140624,DOWN,CORRECT
HDFCBANK,2025-10-28,1003.5499877929688,DOWN,0.6769169569015503,985.25,DOWN,CORRECT
HDFCBANK,2025-10-29,1007.8499755859376,DOWN,0.7418506741523743,984.6500244140624,DOWN,CORRECT
HDFCBANK,2025-10-30,998.1500244140624,DOWN,0.701910674571991,982.2999877929688,DOWN,CORRECT
HDFCBANK,2025-10-31,987.2999877929688,DOWN,0.6559675335884094,984.5,DOWN,CORRECT
HDFCBANK,2025-11-03,992.6500244140624,DOWN,0.6956424713134766,991.7000122070312,DOWN,CORRECT
HDFCBANK,2025-11-04,985.25,DOWN,0.661026120185852,989.5,UP,WRONG
HDFCBANK,2025-11-06,984.6500244140624,DOWN,0.660874605178833,986.6500244140624,UP,WRONG
HDFCBANK,2025-11-07,982.2999877929688,DOWN,0.6520129442214966,989.5999755859376,UP,WRONG
HDFCBANK,2025-11-10,984.5,DOWN,0.660874605178833,996.5499877929688,UP,WRONG
HDFCBANK,2025-11-11,991.7000122070312,DOWN,0.6693426370620728,992.4500122070312,UP,WRONG
HDFCBANK,2025-11-12,989.5,DOWN,0.6658105254173279,994.5999755859376,UP,WRONG
